"","Name","Rating","RatingCount","BoughtCount","Price","DeliveryFree","DeliveryDate","festival"
"51","Candle Warmer Lamp with Timer Dimmer, Birthday Gifts for Mom Women Friends, Valentines Day Gifts for Her, House Warming Gift New Home Room Decor, Wax Melt Warmer with 2 Bulbs for Jar Candles","4.5 out of 5 stars, rating details","2,923 ratings","6K+ bought in past month","$35
99","Delivery","Mon, Jan 27","Valentine's Day"
"52","Gifts for Women Wife-Tahitian-Black-Pearl-Necklace-Gift for Wife Wedding Birthday Anniversary Jewelry-Mom Girlfriend Her Mothers Day Gifts for Mom Women Valentines Day Christmas Day Gifts","4.6 out of 5 stars, rating details","199 ratings","1K+ bought in past month","$198
97","Delivery","Fri, Jan 24","Valentine's Day"
"53","Cleverfy Shower Steamers Aromatherapy - Variety Pack of 6 Shower Bombs with Essential Oils. Self Care Birthday Gifts for Women and Valentines Day Gifts for Her and Him. Purple Set","4.3 out of 5 stars, rating details","37,279 ratings","40K+ bought in past month","$14
99","Delivery","Fri, Jan 24","Valentine's Day"
"54","24 Pack Valentines Day Gifts Cards with Heart Stress Balls Squishy Squeeze Toys Great for Adults Valentines Party Favors Valentine's Day Gifts","4.4 out of 5 stars, rating details","37 ratings","2K+ bought in past month","$15
99","Delivery","Fri, Jan 24","Valentine's Day"
"55","Valentines Day Gifts for Her Wife Girlfriend, Galentines Day Gifts,Christmas Birthday Gifts for Women Stocking Stuffers for Women,12 OZ Funny Coffee Mug,Mothers Day Mom Gifts for Mom from Daughter","4.8 out of 5 stars, rating details","398 ratings","1K+ bought in past month","$7
99","Delivery","Fri, Jan 24","Valentine's Day"
"56","Bee! Tender Tomato® Plushie, for Boyfriend, Girlfriend, Husband, Wife, Christmas, Birthday Gift for Mom, Dad, Kids | Valentines Day Gifts for Her or Him - Mini","4.8 out of 5 stars, rating details","40 ratings","700+ bought in past month","$2
99","Delivery","Mon, Jan 27","Valentine's Day"
"57","24pcs Valentine's Day Gift Cards with Plush Bears Plush Toys Party Favors, Stuffed Animal Plush Toys Plush Toy for Kids Boys Girls Valentines Day Gifts Classroom School Exchange Prize","5.0 out of 5 stars, rating details","10 ratings","1K+ bought in past month","$19
99","Delivery","Fri, Jan 24","Valentine's Day"
"58","Valentines Day Gifts for Him Her, Gifts for Women Men, Anniversary Steel Food Decision Dice Couple Gifts Girlfriend Boyfriend Stocking Stuffers for Women Men Christmas Birthday Wedding Funny Gifts","4.7 out of 5 stars, rating details","211 ratings","3K+ bought in past month","$8
99","Delivery","Fri, Jan 24","Valentine's Day"
"59","30 Pack Valentines Day Gifts for Kids Classroom-Building Blocks,Valentines Day Cards with Animal Blocks for Boys Girls,Class Valentines Gifts Exchange, Party Favors.Valentines Goody Bag Filler","4.6 out of 5 stars, rating details","150 ratings","2K+ bought in past month","$28
99","$8.65 delivery",NA,"Valentine's Day"
"60","Gold Dipped Rose Real 24K Gold Rose, Genuine One of a Kind Rose Hand Dipped in 24K Golden Roses Romantic Gifts for Women in Her Birthday Anniversary Valentines Day Mothers Day","4.6 out of 5 stars, rating details","601 ratings","900+ bought in past month","$59
99","Delivery","Mon, Jan 27","Valentine's Day"
"61","Gifts for Women, Mom, Wife, Girlfriend, Sister, Her - Happy Birthday, Christmas, Valentine's Day, Mothers Day Gifts - Lavender Spa Gift Basket Set","4.7 out of 5 stars, rating details","1,497 ratings","7K+ bought in past month","$29
99","Delivery","Mon, Jan 27","Valentine's Day"
"62","Valentines Day Gifts For Kids: Valentine's Day Joke Book for Kids: Clean Funny Jokes Gift Idea for Kids 5-7, 8-12 (Valentines Day Gifts For Kids Boys and Girls)",NA,NA,NA,"$5
98","Delivery","Mon, Jan 27","Valentine's Day"
"63","Matching Couple Heart Keychain for Boyfriend Girlfriend Valentine's Day Gifts Stuff Him Friends Set Compatible with Lego Gift","4.7 out of 5 stars, rating details","880 ratings","500+ bought in past month","$6
98","Delivery","Fri, Jan 24","Valentine's Day"
"64","Valentines Day Gifts for Him,Birthday Gifts for Men, Gifts for Him Boyfriend Husband Couple Fiance,Mens Gifts Ideas Romantic Bath Towels Funny Gifts for Anniversary Wedding Christmas Stocking Stuffers","4.8 out of 5 stars, rating details","21 ratings",NA,"$7
99","Delivery","Fri, Jan 24","Valentine's Day"
"65","Womens Gifts for Christmas, Valentines Day Gifts for Her Wife Girlfriend, for Mom from Daughter, Self Care Spa Gift Baskets for Women, Birthday Gifts for Women, Best Friend, Sister","4.8 out of 5 stars, rating details","1,029 ratings","1K+ bought in past month","$19
99","Delivery","Fri, Jan 24","Valentine's Day"
"66","Infinity Heart Pendant Necklace for Women 925 Sterling Silver, Rose Gold Birthstone Necklace for Women, Anniversary Birthday Gifts for Her Wife Daughter Girlfriend Girls","4.4 out of 5 stars, rating details","73 ratings",NA,"$103
99",NA,NA,"Valentine's Day"
"67","CooCoCo Pink Heating Pad for Period Cramps, Valentines Day Gifts for Her, Cordless Waist Belt for Menstrual Cramp Relief, Fast Heat Pad with 4 Heat Levels 4 Vibration Levels","4.6 out of 5 stars, rating details","110 ratings",NA,"$23
99",NA,NA,"Valentine's Day"
"68","Valentines Day Gifts for Him, 40 Date Ideas Card Games for Couples Date Night - Unique Date Deck Scratch Off Cards, Great Couple Gifts for Boyfriend- Romantic Wedding for Him and Her","4.5 out of 5 stars, rating details","1,388 ratings","3K+ bought in past month","$13
72",NA,NA,"Valentine's Day"
"69","Birthday Gifts for Women, Get Well Gifts for Women, Relaxing Spa Gifts Care Package with Luxury Flannel Blanket, Light-Up Rose Flower, Unique Self Care Gift Basket for Women, Mom, Wife, Friends","4.7 out of 5 stars, rating details","38 ratings","400+ bought in past month","$39
99",NA,NA,"Valentine's Day"
"70","","4.7 out of 5 stars, rating details","338 ratings",NA,"",NA,NA,"Valentine's Day"
"71","NOWWISH Heating Pad for Period Cramps Pain Relief, Portable Electric Cordless Menstrual Heating Pad Rechargeable with 6 Heat Levels and 6 Massage Modes, Valentines Day Gifts for Her Women Girls, Pink","4.3 out of 5 stars, rating details","62 ratings",NA,"$36
99","Delivery","Fri, Jan 24","Valentine's Day"
"72","Shower Steamers Aromatherapy BLRIET 8 Pack Gifts for Women Mom, Valentines Day Gifts for Her Stress Relief Home Spa, Birthday Gift Lavender Natural Essential Oil Self Care Relaxation Shower Bombs Teen","4.4 out of 5 stars, rating details","1,833 ratings","30K+ bought in past month","$12
99","Delivery","Tue, Jan 28","Valentine's Day"
"73","NOWWISH Valentines Day Gifts for Him Her, Eye Massager with Heat - Smart Eye Mask for Relax Eye, Birthday Gifts for Women and Men - White","4.4 out of 5 stars, rating details","81 ratings","3K+ bought in past month","$59
99","Delivery","Fri, Jan 24","Valentine's Day"
